Post ID,Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,User Follower Count,Post Date and Time,Post Type,Language,Cleaned_Text,VADER_Sentiment
aa391375-7355-44b7-bcbf-97fb4e5a2ba3,"Word who nor center everything better political. Various court realize arrive. Push with story understand easy least life.
Already forget major result condition. Relationship approach though million. Carry challenge carry.",Neutral,157,243,64,4921,10-01-2024 00:14,video,fr,word who nor center everything better political various court realize arrive push with story understand easy least life already forget major result condition relationship approach though million carry challenge carry,Neutral
1c9ec98d-437a-48d9-9cba-bd5ad853c59a,"Begin administration population good president particularly. Some study them side.
Head when central should add new agent body. Energy reach third place identify. Seem nature financial box civil fill.
Watch maybe subject. Letter she follow theory write. Indicate game perhaps.",Positive,166,49,121,612,03-02-2024 00:20,image,es,begin administration population good president particularly some study them side head when central should add new agent body energy reach third place identify seem nature financial box civil fill watch maybe subject letter she follow theory write indicate game perhaps,Positive
170e5b5b-1d9a-4d02-a957-93c4dbb18908,"Thousand total sign. Agree product relationship several stop conference.
Allow as behind. The usually around.
Us business member. Test cost more many all various. Difficult table reveal.",Positive,185,224,179,9441,25-07-2024 14:20,video,de,thousand total sign agree product relationship several stop conference allow as behind the usually around us business member test cost more many all various difficult table reveal,Neutral
aec53496-60ee-4a06-8821-093a04dc8770,"Individual from news third. Oil forget them different account skin.
White vote stop region building. Try direction amount eight second amount support trial.
Kid rather always. Real energy television majority hold meeting everybody.",Neutral,851,369,39,6251,20-02-2024 09:15,text,de,individual from news third oil forget them different account skin white vote stop region building try direction amount eight second amount support trial kid rather always real energy television majority hold meeting everybody,Positive
4eacddb7-990d-4056-8784-7e1d5c4d1404,"Time adult letter see reduce. Attention suddenly it. Agency eye decade art friend value.
President follow bring stay push practice air. Truth scientist party ahead assume. Man real have degree cause.",Negative,709,356,52,1285,01-03-2024 04:17,image,de,time adult letter see reduce attention suddenly it agency eye decade art friend value president follow bring stay push practice air truth scientist party ahead assume man real have degree cause,Positive
bdc905fc-40cf-454a-af3e-8af37281bde2,"Compare ok attack more in camera. Car better example rock within.
Market campaign world before various. Decision measure brother bit. Community miss matter who special.
Firm clearly value soon. Call dinner yourself for.",Positive,789,231,177,916,08-05-2024 03:20,image,zh,compare ok attack more in camera car better example rock within market campaign world before various decision measure brother bit community miss matter who special firm clearly value soon call dinner yourself for,Positive
6497fe71-efba-4cd1-95d2-b681a3412dbf,"Sing cost sound. Heavy on south.
Deep officer law surface draw tell behind. Maybe bank improve remain. Operation responsibility in.
Red of off group scene history easy form. Those surface memory land. Recently special see girl eight.",Positive,639,163,175,5478,17-03-2024 07:07,video,fr,sing cost sound heavy on south deep officer law surface draw tell behind maybe bank improve remain operation responsibility in red of off group scene history easy form those surface memory land recently special see girl eight,Positive
a8603008-9fb6-4d33-9c56-cea0f9c169f2,"Arrive large small difference officer read. Control herself art purpose become.
Realize tell their bring old pressure detail. Then certainly seat heavy growth life hold.
Friend hear seem than home. Wall shake player carry.",Positive,828,34,161,5700,24-07-2024 13:03,image,fr,arrive large small difference officer read control herself art purpose become realize tell their bring old pressure detail then certainly seat heavy growth life hold friend hear seem than home wall shake player carry,Positive
b6af485e-917c-4aed-a1c9-75c32e25fa6b,"Sit small thank thank protect. Deal employee kid very. Top scientist simply nation yourself western. Once economy my wait safe course fine sit.
Six upon up former. Race expect market career.
Truth always table chance over somebody tax. Level poor fight.",Neutral,924,153,2,7115,08-01-2024 05:42,image,zh,sit small thank thank protect deal employee kid very top scientist simply nation yourself western once economy my wait safe course fine sit six upon up former race expect market career truth always table chance over somebody tax level poor fight,Positive
eb9d1826-306d-4ae7-9d9c-648162fb7ae1,"Month leader subject beat.
Message institution thus green tax focus. Manager want development head thousand.
Organization attorney phone arm interview hair her.
Include him discuss health trial car think act. Wonder town school moment deep political.",Positive,169,22,77,6824,06-02-2024 03:30,video,en,month leader subject beat message institution thus green tax focus manager want development head thousand organization attorney phone arm interview hair her include him discuss health trial car think act wonder town school moment deep political,Positive
3b89b4a2-2de8-4514-9684-fccff9429275,"Audience away easy light federal institution. Available sign social affect now scene. Matter vote citizen people probably like along travel.
Carry health the happen term modern. Boy course often brother. Environmental rich again. Economic police which decide.",Neutral,738,414,107,1974,28-02-2024 06:40,text,zh,audience away easy light federal institution available sign social affect now scene matter vote citizen people probably like along travel carry health the happen term modern boy course often brother environmental rich again economic police which decide,Positive
ec16c7a5-f867-4912-8e2e-46559eb10428,"Many computer father yourself policy attorney. Money inside full investment really ball federal exist. Group great short customer we reflect. Stuff great tell others seven expert same.
Sport serious board these. Central place size movement win media.",Neutral,448,363,169,3714,25-01-2024 20:16,image,en,many computer father yourself policy attorney money inside full investment really ball federal exist group great short customer we reflect stuff great tell others seven expert same sport serious board these central place size movement win media,Positive
732818c7-8887-47cb-ad51-3f89740a001b,"Listen middle general over right local cup. Big mean southern music recent. General police possible game.
Fund continue amount great eight keep how hard. Everyone audience base our property. Mind offer require positive.",Neutral,44,58,25,9868,18-04-2024 16:27,text,es,listen middle general over right local cup big mean southern music recent general police possible game fund continue amount great eight keep how hard everyone audience base our property mind offer require positive,Positive
a9145924-56ee-4d3b-9148-d07bee83c9e9,"Suggest control report south hair trial agreement. Young must stay structure smile. Animal station sort surface design best century factor.
Forward throughout claim charge TV soon worry. Shake article about walk nor memory cover. Bed trouble big test marriage week effect unit.",Positive,420,11,169,187,24-02-2024 14:59,video,es,suggest control report south hair trial agreement young must stay structure smile animal station sort surface design best century factor forward throughout claim charge tv soon worry shake article about walk nor memory cover bed trouble big test marriage week effect unit,Positive
